slot_id,x,y,filename,visibility
slot_001,584,533,parking_lot.png,fully_visible
slot_002,465,546,parking_lot.png,fully_visible
slot_003,335,553,parking_lot.png,fully_visible
slot_004,219,553,parking_lot.png,fully_visible
slot_005,87,549,parking_lot.png,occluded
slot_006,1049,356,parking_lot.png,occluded
slot_007,678,340,parking_lot.png,occluded
slot_008,666,328,parking_lot.png,fully_visible
slot_009,10,326,parking_lot.png,fully_visible
slot_010,52,326,parking_lot.png,fully_visible
slot_011,66,314,parking_lot.png,fully_visible
slot_012,112,314,parking_lot.png,fully_visible
slot_013,103,326,parking_lot.png,fully_visible
slot_014,148,327,parking_lot.png,fully_visible
slot_015,156,315,parking_lot.png,fully_visible
slot_016,199,315,parking_lot.png,fully_visible
slot_017,195,328,parking_lot.png,fully_visible
slot_018,245,325,parking_lot.png,fully_visible
slot_019,244,311,parking_lot.png,fully_visible
slot_020,290,312,parking_lot.png,fully_visible
slot_021,291,325,parking_lot.png,fully_visible
slot_022,326,311,parking_lot.png,fully_visible
slot_023,331,323,parking_lot.png,fully_visible
slot_024,366,307,parking_lot.png,fully_visible
slot_025,415,306,parking_lot.png,fully_visible
slot_026,459,306,parking_lot.png,fully_visible
slot_027,475,319,parking_lot.png,fully_visible
slot_028,503,304,parking_lot.png,fully_visible
slot_029,517,317,parking_lot.png,fully_visible
slot_030,544,302,parking_lot.png,fully_visible
slot_031,564,314,parking_lot.png,fully_visible
slot_032,587,301,parking_lot.png,fully_visible
slot_033,610,312,parking_lot.png,fully_visible
slot_034,628,297,parking_lot.png,fully_visible
slot_035,640,306,parking_lot.png,occluded
slot_036,730,302,parking_lot.png,occluded
slot_037,672,306,parking_lot.png,occluded
slot_038,826,325,parking_lot.png,fully_visible
slot_039,860,337,parking_lot.png,fully_visible
slot_040,804,339,parking_lot.png,fully_visible
slot_041,777,326,parking_lot.png,occluded
slot_042,783,346,parking_lot.png,occluded
slot_043,729,339,parking_lot.png,occluded
slot_044,719,371,parking_lot.png,fully_visible
slot_045,792,370,parking_lot.png,fully_visible
slot_046,855,365,parking_lot.png,fully_visible
slot_047,926,360,parking_lot.png,occluded
slot_048,1003,354,parking_lot.png,fully_visible
slot_049,939,390,parking_lot.png,fully_visible
slot_050,797,399,parking_lot.png,fully_visible
slot_051,875,400,parking_lot.png,fully_visible
slot_052,1002,385,parking_lot.png,fully_visible
slot_053,1062,383,parking_lot.png,fully_visible
slot_054,1119,378,parking_lot.png,fully_visible
slot_055,1186,377,parking_lot.png,fully_visible
slot_056,1235,374,parking_lot.png,fully_visible
slot_057,713,398,parking_lot.png,fully_visible
slot_058,634,400,parking_lot.png,fully_visible
slot_059,476,403,parking_lot.png,fully_visible
slot_060,554,404,parking_lot.png,fully_visible
slot_061,398,406,parking_lot.png,fully_visible
slot_062,313,411,parking_lot.png,fully_visible
slot_063,230,414,parking_lot.png,fully_visible
slot_064,149,420,parking_lot.png,fully_visible
slot_065,72,423,parking_lot.png,fully_visible
slot_066,5,419,parking_lot.png,fully_visible
slot_067,18,388,parking_lot.png,fully_visible
slot_068,115,361,parking_lot.png,fully_visible
slot_069,174,380,parking_lot.png,fully_visible
slot_070,90,388,parking_lot.png,occluded
slot_071,234,374,parking_lot.png,fully_visible
slot_072,297,370,parking_lot.png,fully_visible
slot_073,443,374,parking_lot.png,fully_visible
slot_074,526,372,parking_lot.png,fully_visible
slot_075,585,372,parking_lot.png,fully_visible
slot_076,682,373,parking_lot.png,fully_visible
slot_077,657,346,parking_lot.png,fully_visible
slot_078,617,333,parking_lot.png,fully_visible
slot_079,565,333,parking_lot.png,fully_visible
slot_080,585,350,parking_lot.png,fully_visible
slot_081,504,332,parking_lot.png,occluded
slot_082,529,349,parking_lot.png,fully_visible
slot_083,474,356,parking_lot.png,fully_visible
slot_084,460,339,parking_lot.png,fully_visible
slot_085,414,339,parking_lot.png,fully_visible
slot_086,421,360,parking_lot.png,fully_visible
slot_087,357,360,parking_lot.png,fully_visible
slot_088,350,341,parking_lot.png,fully_visible
slot_089,293,343,parking_lot.png,fully_visible
slot_090,295,358,parking_lot.png,fully_visible
slot_091,233,361,parking_lot.png,fully_visible
slot_092,235,345,parking_lot.png,fully_visible
slot_093,178,346,parking_lot.png,fully_visible
slot_094,175,362,parking_lot.png,fully_visible
slot_095,118,347,parking_lot.png,fully_visible
slot_096,73,349,parking_lot.png,fully_visible
slot_097,57,364,parking_lot.png,fully_visible
slot_098,19,345,parking_lot.png,fully_visible
slot_099,12,362,parking_lot.png,fully_visible
slot_100,18,492,parking_lot.png,fully_visible
slot_101,4,546,parking_lot.png,fully_visible
slot_102,111,475,parking_lot.png,fully_visible
slot_103,215,470,parking_lot.png,fully_visible
slot_104,322,468,parking_lot.png,fully_visible
slot_105,418,464,parking_lot.png,fully_visible
slot_106,531,461,parking_lot.png,fully_visible
slot_107,632,458,parking_lot.png,fully_visible
slot_108,751,451,parking_lot.png,fully_visible
slot_109,863,444,parking_lot.png,fully_visible
slot_110,939,440,parking_lot.png,fully_visible
slot_111,1064,435,parking_lot.png,fully_visible
slot_112,1135,436,parking_lot.png,fully_visible
slot_113,1371,437,parking_lot.png,fully_visible
slot_114,1436,423,parking_lot.png,fully_visible
slot_115,1487,470,parking_lot.png,fully_visible
slot_116,1226,484,parking_lot.png,fully_visible
slot_117,1130,492,parking_lot.png,fully_visible
slot_118,1041,502,parking_lot.png,fully_visible
slot_119,938,506,parking_lot.png,fully_visible
slot_120,822,520,parking_lot.png,fully_visible
slot_121,709,529,parking_lot.png,fully_visible
slot_122,19,751,parking_lot.png,fully_visible
slot_123,171,766,parking_lot.png,fully_visible
slot_124,381,765,parking_lot.png,fully_visible
slot_125,595,766,parking_lot.png,fully_visible
slot_126,795,765,parking_lot.png,fully_visible
slot_127,976,751,parking_lot.png,fully_visible
slot_128,1153,734,parking_lot.png,fully_visible
slot_129,1342,691,parking_lot.png,fully_visible
slot_130,1470,679,parking_lot.png,fully_visible
slot_131,1499,629,parking_lot.png,fully_visible
slot_132,1499,600,parking_lot.png,fully_visible
slot_133,1310,771,parking_lot.png,fully_visible
slot_134,1486,740,parking_lot.png,fully_visible
slot_135,1439,757,parking_lot.png,fully_visible
